connection_id,changelog_id,field,field_type,field_id,from_value,from_string,to_value,to_string,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
2,63263,RemoteIssueLink,freshrelease,,,,19662,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204709,
2,63382,RemoteIssueLink,freshrelease,,,,19722,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204534,
2,63406,RemoteIssueLink,freshrelease,,,,19746,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204710,
2,63469,RemoteIssueLink,freshrelease,,19722,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19722,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204535,
2,63484,RemoteIssueLink,freshrelease,,19746,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19746,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204711,
2,63557,RemoteIssueLink,freshrelease,,,,19804,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204536,
2,63573,RemoteIssueLink,freshrelease,,,,19820,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204712,
2,63664,RemoteIssueLink,freshrelease,,19820,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19820,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204713,
2,63691,RemoteIssueLink,freshrelease,,19804,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19804,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204537,
2,63726,RemoteIssueLink,freshrelease,,19820,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19820,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204714,
2,63769,RemoteIssueLink,freshrelease,,19804,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""",19804,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204538,
2,63822,RemoteIssueLink,freshrelease,,,,19872,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204715,
2,63876,RemoteIssueLink,freshrelease,,,,19926,"这个事务链接到 ""Commit - feat(SprintWorkloadPage): update TeamMembersWorkload (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204539,
2,63889,RemoteIssueLink,freshrelease,,19872,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""",19872,"这个事务链接到 ""Commit - fix(SprintQualityPage): WorkloadCharts data range issue (网页链接)""","{""ConnectionId"":2,""BoardId"":8}",_raw_freshrelease_api_issue_changelogs,204716,
